"","X","Genome","Order","Family","Genus","VC","VC.Status","Size","VC.Subcluster","VC.Subcluster.Size","Quality","Adj.P.value","Topology.Confidence.Score","Genera.in.VC","Families.in.VC","Orders.in.VC","Genus.Confidence.Score"
"574",573,"Gordonia~phage~Emalyn","Unassigned","Unassigned","Unassigned","262_0","Clustered",3,"VC_262_0",3,0.6753,0.99188498,0.6698,1,1,1,1
"575",574,"Gordonia~phage~GAL1","Unassigned","Unassigned","Unassigned","74_0","Clustered",2,"VC_74_0",2,0.2216,0.94943645,0.2104,1,1,1,1
"576",575,"Gordonia~phage~GMA1","Unassigned","Unassigned","Unassigned","211_0","Clustered",3,"VC_211_0",3,0.2525,0.73351697,0.1852,1,1,1,1
"577",576,"Gordonia~phage~GMA3","Unassigned","Unassigned","Unassigned","264_0","Clustered",5,"VC_264_0",5,0.4999,0.9999997,0.4999,2,2,2,1
"578",577,"Gordonia~phage~GMA5","Unassigned","Unassigned","Unassigned","70_0","Clustered",4,"VC_70_0",4,0.7907,0.99289298,0.7851,1,1,1,1
"579",578,"Gordonia~phage~GMA7","Unassigned","Unassigned","Unassigned","265_1","Clustered",7,"VC_265_1",7,0.5389,1,0.5389,3,2,2,0.7143
"580",579,"Gordonia~phage~GRU1","Unassigned","Unassigned","Unassigned","209_0","Clustered",3,"VC_209_0",3,0.8265,0.99694497,0.824,1,1,1,1
"581",580,"Gordonia~phage~GRU3","Unassigned","Unassigned","Unassigned","70_0","Clustered",4,"VC_70_0",4,0.7907,0.99289298,0.7851,1,1,1,1
"582",581,"Gordonia~phage~GTE2","Unassigned","Unassigned","Unassigned","262_0","Clustered",3,"VC_262_0",3,0.6753,0.99188498,0.6698,1,1,1,1
"583",582,"Gordonia~phage~GTE5","Unassigned","Unassigned","Unassigned","209_0","Clustered",3,"VC_209_0",3,0.8265,0.99694497,0.824,1,1,1,1
"584",583,"Gordonia~phage~GTE6","Unassigned","Unassigned","Unassigned","49_0","Clustered",3,"VC_49_0",3,0.5224,0.99593089,0.5202,1,1,1,1
"585",584,"Gordonia~phage~GTE7","Unassigned","Unassigned","Unassigned","265_1","Clustered",7,"VC_265_1",7,0.5389,1,0.5389,3,2,2,0.7143
"586",585,"Gordonia~phage~GTE8","Unassigned","Unassigned","Unassigned","209_0","Clustered",3,"VC_209_0",3,0.8265,0.99694497,0.824,1,1,1,1
"587",586,"Gordonia~phage~Gmala1","Unassigned","Unassigned","Unassigned","264_0","Clustered",5,"VC_264_0",5,0.4999,0.9999997,0.4999,2,2,2,1
"588",587,"Gordonia~phage~GordDuk1","Unassigned","Unassigned","Unassigned","264_0","Clustered",5,"VC_264_0",5,0.4999,0.9999997,0.4999,2,2,2,1
"589",588,"Gordonia~phage~GordTnk2","Caudovirales","Siphoviridae","Gordtnkvirus","264_0","Clustered",5,"VC_264_0",5,0.4999,0.9999997,0.4999,2,2,2,1
"590",589,"Gordonia~phage~Gsput1","Unassigned","Unassigned","Unassigned","210_0","Clustered",3,"VC_210_0",3,0.891,0.9938774,0.8855,2,2,2,1
"591",590,"Gordonia~phage~Guacamole","Unassigned","Unassigned","Unassigned","254_0","Clustered",7,"VC_254_0",7,0.7395,1,0.7395,1,1,1,1
"592",591,"Gordonia~phage~Hedwig","Unassigned","Unassigned","Unassigned","255_0","Clustered",3,"VC_255_0",3,0.2908,0.99813372,0.2902,1,1,1,1
"593",592,"Gordonia~phage~Hotorobo","Caudovirales","Siphoviridae","Woesvirus","265_1","Clustered",7,"VC_265_1",7,0.5389,1,0.5389,3,2,2,0.7143
"594",593,"Gordonia~phage~Jumbo","Unassigned","Unassigned","Unassigned","264_0","Clustered",5,"VC_264_0",5,0.4999,0.9999997,0.4999,2,2,2,1
"595",594,"Gordonia~phage~Kita","Caudovirales","Siphoviridae","Nymphadoravirus","253_0","Clustered",5,"VC_253_0",5,0.5318,0.99999989,0.5318,2,1,1,1
"596",595,"Gordonia~phage~Kvothe","Caudovirales","Siphoviridae","Demosthenesvirus","265_0","Clustered",2,"VC_265_0",2,0.1225,0.9466884,0.1159,1,1,1,1
"597",596,"Gordonia~phage~Lucky10","Unassigned","Unassigned","Unassigned","74_1","Clustered/Singleton",1,"VC_74_1",1,0,1,0,1,1,1,1
"598",597,"Gordonia~phage~McGonagall","Unassigned","Unassigned","Unassigned","70_0","Clustered",4,"VC_70_0",4,0.7907,0.99289298,0.7851,1,1,1,1
"599",598,"Gordonia~phage~Monty","Caudovirales","Siphoviridae","Woesvirus","265_1","Clustered",7,"VC_265_1",7,0.5389,1,0.5389,3,2,2,0.7143
"600",599,"Gordonia~phage~Nymphadora","Caudovirales","Siphoviridae","Nymphadoravirus","253_0","Clustered",5,"VC_253_0",5,0.5318,0.99999989,0.5318,2,1,1,1
"601",600,"Gordonia~phage~Obliviate","Unassigned","Unassigned","Unassigned","254_0","Clustered",7,"VC_254_0",7,0.7395,1,0.7395,1,1,1,1
"602",601,"Gordonia~phage~OneUp","Caudovirales","Siphoviridae","Smoothievirus","251_1","Clustered/Singleton",1,"VC_251_1",1,0,1,0,1,1,1,1
"603",602,"Gordonia~phage~Phinally","Unassigned","Unassigned","Unassigned","49_0","Clustered",3,"VC_49_0",3,0.5224,0.99593089,0.5202,1,1,1,1
"604",603,"Gordonia~phage~Schwabeltier","Unassigned","Unassigned","Unassigned","255_0","Clustered",3,"VC_255_0",3,0.2908,0.99813372,0.2902,1,1,1,1
"605",604,"Gordonia~phage~Smoothie","Caudovirales","Siphoviridae","Smoothievirus","251_0","Clustered",4,"VC_251_0",4,0.5239,0.99964851,0.5238,2,2,2,1
"606",605,"Gordonia~phage~SoilAssassin","Unassigned","Unassigned","Unassigned","253_1","Clustered/Singleton",1,"VC_253_1",1,0,1,0,1,1,1,1
"607",606,"Gordonia~phage~Splinter","Caudovirales","Siphoviridae","Vendettavirus","210_0","Clustered",3,"VC_210_0",3,0.891,0.9938774,0.8855,2,2,2,1
"608",607,"Gordonia~phage~Twister6","Caudovirales","Siphoviridae","Wizardvirus","50_0","Clustered",2,"VC_50_0",2,0.4379,0.94713201,0.4147,1,1,1,1
"609",608,"Gordonia~phage~UmaThurman","Unassigned","Unassigned","Unassigned","254_0","Clustered",7,"VC_254_0",7,0.7395,1,0.7395,1,1,1,1
"610",609,"Gordonia~phage~Utz","Unassigned","Unassigned","Unassigned","254_0","Clustered",7,"VC_254_0",7,0.7395,1,0.7395,1,1,1,1
"611",610,"Gordonia~phage~Vendetta","Caudovirales","Siphoviridae","Vendettavirus","210_0","Clustered",3,"VC_210_0",3,0.891,0.9938774,0.8855,2,2,2,1
"612",611,"Gordonia~phage~Vivi2","Unassigned","Unassigned","Unassigned","49_0","Clustered",3,"VC_49_0",3,0.5224,0.99593089,0.5202,1,1,1,1
"613",612,"Gordonia~phage~Wizard","Caudovirales","Siphoviridae","Wizardvirus","50_0","Clustered",2,"VC_50_0",2,0.4379,0.94713201,0.4147,1,1,1,1
"614",613,"Gordonia~phage~Woes","Caudovirales","Siphoviridae","Woesvirus","265_1","Clustered",7,"VC_265_1",7,0.5389,1,0.5389,3,2,2,0.7143
"615",614,"Gordonia~phage~Yeezy","Caudovirales","Siphoviridae","Baxtervirus","253_0","Clustered",5,"VC_253_0",5,0.5318,0.99999989,0.5318,2,1,1,1
"616",615,"Gordonia~phage~Zirinka","Caudovirales","Siphoviridae","Nymphadoravirus","253_0","Clustered",5,"VC_253_0",5,0.5318,0.99999989,0.5318,2,1,1,1
"617",616,"Guinea~pig~Chlamydia~phage","Unassigned","Microviridae","Chlamydiamicrovirus","141_0","Clustered",12,"VC_141_0",12,0.8949,1,0.8949,3,2,1,1
"618",617,"Haemophilus~phage~Aaphi23","Unassigned","Unassigned","Unassigned","5_0","Clustered",2,"VC_5_0",2,0.6357,0.93003234,0.5912,1,1,1,1
"619",618,"Haemophilus~phage~HP1","Caudovirales","Myoviridae","Hp1virus","60_0","Clustered",9,"VC_60_0",9,0.5219,1,0.5219,2,2,2,1
"620",619,"Haemophilus~phage~HP2","Caudovirales","Myoviridae","Hp1virus","60_0","Clustered",9,"VC_60_0",9,0.5219,1,0.5219,2,2,2,1
"621",620,"Haloarcula~californiae~icosahedral~virus~1","Unassigned","Sphaerolipoviridae","Alphasphaerolipovirus","273_0","Clustered",4,"VC_273_0",4,1,1,1,1,1,1,1
"622",621,"Haloarcula~hispanica~icosahedral~virus~2","Unassigned","Sphaerolipoviridae","Alphasphaerolipovirus","273_0","Clustered",4,"VC_273_0",4,1,1,1,1,1,1,1
"623",622,"Haloarcula~hispanica~pleomorphic~virus~1","Unassigned","Pleolipoviridae","Alphapleolipovirus","274_0","Clustered",2,"VC_274_0",2,0.5081,0.89435023,0.4544,1,1,1,1
"624",623,"Haloarcula~hispanica~pleomorphic~virus~2","Unassigned","Pleolipoviridae","Alphapleolipovirus","274_0","Clustered",2,"VC_274_0",2,0.5081,0.89435023,0.4544,1,1,1,1
"625",624,"Haloarcula~hispanica~virus~PH1","Unassigned","Sphaerolipoviridae","Alphasphaerolipovirus","273_0","Clustered",4,"VC_273_0",4,1,1,1,1,1,1,1
"626",625,"Haloarcula~hispanica~virus~SH1","Unassigned","Sphaerolipoviridae","Alphasphaerolipovirus","273_0","Clustered",4,"VC_273_0",4,1,1,1,1,1,1,1
"627",626,"Halocynthia~phage~JM-2012","Unassigned","Unassigned","Unassigned","217_1","Clustered/Singleton",1,"VC_217_1",1,0,1,0,1,1,1,1
"628",627,"Halorubrum~phage~CGphi46","Unassigned","Unassigned","Unassigned","68_0","Clustered",2,"VC_68_0",2,0.8409,0.72985431,0.6137,1,1,1,1
"629",628,"Halorubrum~phage~HF2","Unassigned","Unassigned","Unassigned","277_0","Clustered",4,"VC_277_0",4,0.7437,0.99976889,0.7435,1,1,1,1
"630",629,"Halovirus~HCTV-1","Unassigned","Unassigned","Unassigned","276_0","Clustered",3,"VC_276_0",3,0.885,0.99287596,0.8787,1,1,1,1
"631",630,"Halovirus~HCTV-2","Unassigned","Unassigned","Unassigned","279_0","Clustered",2,"VC_279_0",2,0.4784,0.85557782,0.4093,1,1,1,1
"632",631,"Halovirus~HCTV-5","Unassigned","Unassigned","Unassigned","276_0","Clustered",3,"VC_276_0",3,0.885,0.99287596,0.8787,1,1,1,1
"633",632,"Halovirus~HF1","Unassigned","Unassigned","Unassigned","277_0","Clustered",4,"VC_277_0",4,0.7437,0.99976889,0.7435,1,1,1,1
"634",633,"Halovirus~HHTV-2","Unassigned","Unassigned","Unassigned","279_0","Clustered",2,"VC_279_0",2,0.4784,0.85557782,0.4093,1,1,1,1
"635",634,"Halovirus~HRTV-5","Unassigned","Unassigned","Unassigned","277_0","Clustered",4,"VC_277_0",4,0.7437,0.99976889,0.7435,1,1,1,1
"636",635,"Halovirus~HRTV-8","Unassigned","Unassigned","Unassigned","277_0","Clustered",4,"VC_277_0",4,0.7437,0.99976889,0.7435,1,1,1,1
"637",636,"Halovirus~HVTV-1","Unassigned","Unassigned","Unassigned","276_0","Clustered",3,"VC_276_0",3,0.885,0.99287596,0.8787,1,1,1,1
"638",637,"Hamiltonella~virus~APSE1","Caudovirales","Podoviridae","Unassigned","133_0","Clustered",3,"VC_133_0",3,0.1603,0.9971398,0.1599,1,2,2,1
"639",638,"Helicobacter~phage~1961P","Caudovirales","Podoviridae","Una961virus","280_0","Clustered",4,"VC_280_0",4,1,1,1,2,2,2,1
"640",639,"Helicobacter~phage~KHP30","Caudovirales","Podoviridae","Una961virus","280_0","Clustered",4,"VC_280_0",4,1,1,1,2,2,2,1
"641",640,"Helicobacter~phage~KHP40","Caudovirales","Podoviridae","Una961virus","280_0","Clustered",4,"VC_280_0",4,1,1,1,2,2,2,1
"642",641,"Helicobacter~phage~phiHP33","Unassigned","Unassigned","Unassigned","280_0","Clustered",4,"VC_280_0",4,1,1,1,2,2,2,1
"643",642,"Idiomarinaceae~phage~Phi1M2-2","Unassigned","Unassigned","Unassigned","154_0","Clustered",3,"VC_154_0",3,0.1779,0.99044577,0.1762,1,1,1,1
"644",643,"Iodobacteriophage~phiPLPE","Unassigned","Unassigned","Unassigned","64_0","Clustered",7,"VC_64_0",7,0.8756,1,0.8756,2,2,2,1
"645",644,"Klebsiella~phage~0507-KN2-1","Caudovirales","Ackermannviridae","Unassigned","178_1","Clustered",19,"VC_178_1",19,0.8051,1,0.8051,5,1,1,0.8012
"646",645,"Klebsiella~phage~1513","Caudovirales","Siphoviridae","Kp36virus","199_0","Clustered",25,"VC_199_0",25,0.9732,1,0.9732,6,2,2,0.9667
"647",646,"Klebsiella~phage~F19","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"648",647,"Klebsiella~phage~JD001","Unassigned","Unassigned","Unassigned","64_0","Clustered",7,"VC_64_0",7,0.8756,1,0.8756,2,2,2,1
"649",648,"Klebsiella~phage~JD18","Caudovirales","Myoviridae","Jd18virus","29_15","Clustered",3,"VC_29_15",3,0.0216,0.99844475,0.0216,2,2,2,0.6667
"650",649,"Klebsiella~phage~K11","Caudovirales","Podoviridae","Kp32virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"651",650,"Klebsiella~phage~K5","Caudovirales","Podoviridae","Kp32virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"652",651,"Klebsiella~phage~KLPN1","Caudovirales","Siphoviridae","Kp36virus","199_0","Clustered",25,"VC_199_0",25,0.9732,1,0.9732,6,2,2,0.9667
"653",652,"Klebsiella~phage~KP15","Caudovirales","Myoviridae","Kp15virus","32_0","Clustered",3,"VC_32_0",3,0.0553,0.99689851,0.0552,1,1,1,1
"654",653,"Klebsiella~phage~KP27","Caudovirales","Myoviridae","Kp15virus","32_0","Clustered",3,"VC_32_0",3,0.0553,0.99689851,0.0552,1,1,1,1
"655",654,"Klebsiella~phage~KP32","Caudovirales","Podoviridae","Kp32virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"656",655,"Klebsiella~phage~KP34","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"657",656,"Klebsiella~phage~KP36","Caudovirales","Siphoviridae","Kp36virus","199_0","Clustered",25,"VC_199_0",25,0.9732,1,0.9732,6,2,2,0.9667
"658",657,"Klebsiella~phage~Kp2","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"659",658,"Klebsiella~phage~KpV41","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"660",659,"Klebsiella~phage~KpV475","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"661",660,"Klebsiella~phage~KpV71","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"662",661,"Klebsiella~phage~Matisse","Caudovirales","Myoviridae","Kp15virus","32_0","Clustered",3,"VC_32_0",3,0.0553,0.99689851,0.0552,1,1,1,1
"663",662,"Klebsiella~phage~NTUH-K2044-K1-1","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"664",663,"Klebsiella~phage~PKO111","Caudovirales","Myoviridae","Jd18virus","29_15","Clustered",3,"VC_29_15",3,0.0216,0.99844475,0.0216,2,2,2,0.6667
"665",664,"Klebsiella~phage~PKP126","Caudovirales","Siphoviridae","Kp36virus","199_0","Clustered",25,"VC_199_0",25,0.9732,1,0.9732,6,2,2,0.9667
"666",665,"Klebsiella~phage~Sushi","Caudovirales","Siphoviridae","Kp36virus","199_0","Clustered",25,"VC_199_0",25,0.9732,1,0.9732,6,2,2,0.9667
"667",666,"Klebsiella~phage~vB_Kp1","Caudovirales","Podoviridae","Kp32virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"668",667,"Klebsiella~phage~vB_KpnM_KB57","Unassigned","Unassigned","Unassigned","214_2","Clustered/Singleton",1,"VC_214_2",1,0,1,0,1,1,1,1
"669",668,"Klebsiella~phage~vB_KpnM_KpV477","Unassigned","Unassigned","Unassigned","29_15","Clustered",3,"VC_29_15",3,0.0216,0.99844475,0.0216,2,2,2,0.6667
"670",669,"Klebsiella~phage~vB_KpnP_KpV289","Caudovirales","Podoviridae","Kp32virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"671",670,"Klebsiella~phage~vB_KpnP_SU503","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"672",671,"Klebsiella~phage~vB_KpnP_SU552A","Caudovirales","Podoviridae","Kp34virus","26_0","Clustered",17,"VC_26_0",17,0.6492,1,0.6492,3,2,2,1
"673",672,"Kluyvera~phage~Kvp1","Caudovirales","Podoviridae","T7virus","195_0","Clustered",60,"VC_195_0",60,0.9853,1,0.9853,3,2,2,1
"674",673,"Lactobacillus~phage~A2","Unassigned","Unassigned","Unassigned","122_0","Clustered",6,"VC_122_0",6,0.3463,1,0.3463,1,1,1,0.8667
"675",674,"Lactobacillus~phage~J-1","Unassigned","Unassigned","Unassigned","122_0","Clustered",6,"VC_122_0",6,0.3463,1,0.3463,1,1,1,0.8667
"676",675,"Lactobacillus~phage~JCL1032","Unassigned","Unassigned","Unassigned","91_0","Clustered",3,"VC_91_0",3,0.2588,0.99813613,0.2583,1,1,1,1
"677",676,"Lactobacillus~phage~KC5a","Unassigned","Unassigned","Unassigned","145_0","Clustered",4,"VC_145_0",4,0.7479,0.99995305,0.7479,1,1,1,1
"678",677,"Lactobacillus~phage~LBR48","Unassigned","Unassigned","Unassigned","234_0","Clustered",2,"VC_234_0",2,0.481,0.90478487,0.4352,1,1,1,1
"679",678,"Lactobacillus~phage~LF1","Unassigned","Unassigned","Unassigned","242_0","Clustered",2,"VC_242_0",2,0.1598,0.94398033,0.1509,1,1,1,1
"680",679,"Lactobacillus~phage~LL-H","Unassigned","Unassigned","Unassigned","91_0","Clustered",3,"VC_91_0",3,0.2588,0.99813613,0.2583,1,1,1,1
"681",680,"Lactobacillus~phage~Lc-Nu","Unassigned","Unassigned","Unassigned","122_0","Clustered",6,"VC_122_0",6,0.3463,1,0.3463,1,1,1,0.8667
"682",681,"Lactobacillus~phage~Ld17","Caudovirales","Siphoviridae","C5virus","286_0","Clustered",6,"VC_286_0",6,0.9955,0.9993881,0.9949,1,1,1,1
"683",682,"Lactobacillus~phage~Ld25A","Caudovirales","Siphoviridae","C5virus","286_0","Clustered",6,"VC_286_0",6,0.9955,0.9993881,0.9949,1,1,1,1
"684",683,"Lactobacillus~phage~Ld3","Caudovirales","Siphoviridae","C5virus","286_0","Clustered",6,"VC_286_0",6,0.9955,0.9993881,0.9949,1,1,1,1
"685",684,"Lactobacillus~phage~Lrm1","Unassigned","Unassigned","Unassigned","122_0","Clustered",6,"VC_122_0",6,0.3463,1,0.3463,1,1,1,0.8667
"686",685,"Lactobacillus~phage~PL-1","Unassigned","Unassigned","Unassigned","122_0","Clustered",6,"VC_122_0",6,0.3463,1,0.3463,1,1,1,0.8667
"687",686,"Lactobacillus~phage~PLE2","Unassigned","Unassigned","Unassigned","110_0","Clustered",2,"VC_110_0",2,0.3831,0.93710679,0.359,1,1,1,1
"688",687,"Lactobacillus~phage~iA2","Unassigned","Unassigned","Unassigned","110_0","Clustered",2,"VC_110_0",2,0.3831,0.93710679,0.359,1,1,1,1
"689",688,"Lactobacillus~phage~phi~jlb1","Unassigned","Unassigned","Unassigned","145_0","Clustered",4,"VC_145_0",4,0.7479,0.99995305,0.7479,1,1,1,1
"690",689,"Lactobacillus~phage~phiAQ113","Unassigned","Unassigned","Unassigned","145_0","Clustered",4,"VC_145_0",4,0.7479,0.99995305,0.7479,1,1,1,1
"691",690,"Lactobacillus~phage~phiAT3","Unassigned","Unassigned","Unassigned","122_0","Clustered",6,"VC_122_0",6,0.3463,1,0.3463,1,1,1,0.8667
"692",691,"Lactobacillus~phage~phiJB","Unassigned","Unassigned","Unassigned","91_0","Clustered",3,"VC_91_0",3,0.2588,0.99813613,0.2583,1,1,1,1
"693",692,"Lactobacillus~phage~phiLdb","Caudovirales","Siphoviridae","C5virus","286_0","Clustered",6,"VC_286_0",6,0.9955,0.9993881,0.9949,1,1,1,1
"694",693,"Lactobacillus~phage~phiPYB5","Unassigned","Unassigned","Unassigned","242_0","Clustered",2,"VC_242_0",2,0.1598,0.94398033,0.1509,1,1,1,1
"695",694,"Lactobacillus~prophage~Lj771","Unassigned","Unassigned","Unassigned","145_0","Clustered",4,"VC_145_0",4,0.7479,0.99995305,0.7479,1,1,1,1
"696",695,"Lactobacillus~virus~ATCC8014","Caudovirales","Siphoviridae","Phijl1virus","243_0","Clustered",3,"VC_243_0",3,0.8612,0.99363432,0.8557,1,1,1,1
"697",696,"Lactobacillus~virus~LLKu","Caudovirales","Siphoviridae","C5virus","286_0","Clustered",6,"VC_286_0",6,0.9955,0.9993881,0.9949,1,1,1,1
"698",697,"Lactobacillus~virus~c5","Caudovirales","Siphoviridae","C5virus","286_0","Clustered",6,"VC_286_0",6,0.9955,0.9993881,0.9949,1,1,1,1
"699",698,"Lactobacillus~virus~phiJL1","Caudovirales","Siphoviridae","Phijl1virus","243_0","Clustered",3,"VC_243_0",3,0.8612,0.99363432,0.8557,1,1,1,1
"700",699,"Lactoccocus~phage~WP-2","Unassigned","Unassigned","Unassigned","245_0","Clustered",4,"VC_245_0",4,0.3015,0.9999362,0.3014,2,2,2,1
"701",700,"Lactococcus~phage~1358","Unassigned","Unassigned","Unassigned","116_0","Clustered",3,"VC_116_0",3,0.4877,0.99518628,0.4853,1,1,1,1
"702",701,"Lactococcus~phage~340","Unassigned","Unassigned","Unassigned","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"703",702,"Lactococcus~phage~949","Unassigned","Unassigned","Unassigned","126_0","Clustered",3,"VC_126_0",3,0.7045,0.99614159,0.7018,1,1,1,1
"704",703,"Lactococcus~phage~BK5-T","Unassigned","Unassigned","Unassigned","284_0","Clustered",6,"VC_284_0",6,0.1892,0.99989861,0.1892,1,1,1,0.7333
"705",704,"Lactococcus~phage~BM13","Unassigned","Unassigned","Unassigned","284_0","Clustered",6,"VC_284_0",6,0.1892,0.99989861,0.1892,1,1,1,0.7333
"706",705,"Lactococcus~phage~D4410","Unassigned","Unassigned","Unassigned","288_0","Clustered",7,"VC_288_0",7,0.9612,0.99999932,0.9612,2,2,2,1
"707",706,"Lactococcus~phage~D4412","Unassigned","Unassigned","Unassigned","288_0","Clustered",7,"VC_288_0",7,0.9612,0.99999932,0.9612,2,2,2,1
"708",707,"Lactococcus~phage~GE1","Unassigned","Unassigned","Unassigned","289_0","Clustered",2,"VC_289_0",2,0.024,0.70144452,0.0169,1,1,1,1
"709",708,"Lactococcus~phage~M5938","Unassigned","Unassigned","Unassigned","288_0","Clustered",7,"VC_288_0",7,0.9612,0.99999932,0.9612,2,2,2,1
"710",709,"Lactococcus~phage~M6162","Unassigned","Unassigned","Unassigned","288_0","Clustered",7,"VC_288_0",7,0.9612,0.99999932,0.9612,2,2,2,1
"711",710,"Lactococcus~phage~M6165","Unassigned","Unassigned","Unassigned","288_0","Clustered",7,"VC_288_0",7,0.9612,0.99999932,0.9612,2,2,2,1
"712",711,"Lactococcus~phage~P078","Unassigned","Unassigned","Unassigned","72_0","Clustered",4,"VC_72_0",4,0.7458,0.9997723,0.7456,1,1,1,1
"713",712,"Lactococcus~phage~P092","Unassigned","Unassigned","Unassigned","72_0","Clustered",4,"VC_72_0",4,0.7458,0.9997723,0.7456,1,1,1,1
"714",713,"Lactococcus~phage~P118","Unassigned","Unassigned","Unassigned","72_0","Clustered",4,"VC_72_0",4,0.7458,0.9997723,0.7456,1,1,1,1
"715",714,"Lactococcus~phage~P162","Unassigned","Unassigned","Unassigned","72_0","Clustered",4,"VC_72_0",4,0.7458,0.9997723,0.7456,1,1,1,1
"716",715,"Lactococcus~phage~P335~sensu~lato","Unassigned","Unassigned","Unassigned","284_0","Clustered",6,"VC_284_0",6,0.1892,0.99989861,0.1892,1,1,1,0.7333
"717",716,"Lactococcus~phage~P680","Unassigned","Unassigned","Unassigned","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"718",717,"Lactococcus~phage~Q54","Unassigned","Unassigned","Unassigned","289_0","Clustered",2,"VC_289_0",2,0.024,0.70144452,0.0169,1,1,1,1
"719",718,"Lactococcus~phage~WRP3","Unassigned","Unassigned","Unassigned","126_0","Clustered",3,"VC_126_0",3,0.7045,0.99614159,0.7018,1,1,1,1
"720",719,"Lactococcus~phage~asccphi28","Unassigned","Unassigned","Unassigned","47_0","Clustered",3,"VC_47_0",3,0.1357,0.57246935,0.0777,2,2,2,1
"721",720,"Lactococcus~phage~bIL285","Unassigned","Unassigned","Unassigned","284_0","Clustered",6,"VC_284_0",6,0.1892,0.99989861,0.1892,1,1,1,0.7333
"722",721,"Lactococcus~phage~bIL286","Unassigned","Unassigned","Unassigned","284_0","Clustered",6,"VC_284_0",6,0.1892,0.99989861,0.1892,1,1,1,0.7333
"723",722,"Lactococcus~phage~bIL309","Unassigned","Unassigned","Unassigned","284_0","Clustered",6,"VC_284_0",6,0.1892,0.99989861,0.1892,1,1,1,0.7333
"724",723,"Lactococcus~phage~bIL310","Unassigned","Unassigned","Unassigned","149_0","Clustered",2,"VC_149_0",2,0.6617,0.89435023,0.5918,1,1,1,1
"725",724,"Lactococcus~phage~jm2","Unassigned","Unassigned","Unassigned","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"726",725,"Lactococcus~phage~jm3","Unassigned","Unassigned","Unassigned","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"727",726,"Lactococcus~phage~phi7","Unassigned","Unassigned","Unassigned","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"728",727,"Lactococcus~phage~phiL47","Unassigned","Unassigned","Unassigned","126_0","Clustered",3,"VC_126_0",3,0.7045,0.99614159,0.7018,1,1,1,1
"729",728,"Lactococcus~virus~712","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"730",729,"Lactococcus~virus~ASCC191","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"731",730,"Lactococcus~virus~Bibb29","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"732",731,"Lactococcus~virus~CB13","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"733",732,"Lactococcus~virus~CB14","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"734",733,"Lactococcus~virus~P008","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"735",734,"Lactococcus~virus~Sl4","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
"736",735,"Lactococcus~virus~bIL170","Caudovirales","Siphoviridae","Sk1virus","287_0","Clustered",15,"VC_287_0",15,0.9983,0.99999965,0.9983,2,2,2,1
